branch_ID;branch_order;segment_ID;parent_segment_ID;growth_volume;growth_length;detection;improvement;startX;startY;startZ;endX;endY;endZ;radius;length;species;ID;length_to_leave; inverse_branch_order; length_of_segment;branch_order_cum; cylinder_ID; cylinder_parent_ID; reverse_pipe_order;Allometric_improved;length_to_root;tree_ID; volume (m^3); length (m); height (m); DBH (cm); DBH_taper_linear (cm); cut_height (m);x_position;y_position; cylinder_children_id;segment_children_id
-1;0;0;-1;0.801138;479.388;spherefollowing;RANSAC;-2.29116;-2.50049;0.110019;-2.2995;-2.4049;0.335761;0.162563;0.245289;unknown species;Pinus_01;24.6733;5;6.04352;1274;0;-1;26.533;NO_ALLOM;0.810578;Pinus_01.ply;0.801138;18.9996;16.5377;26.9258;28.9074;0.32;-2.29116;-2.50049;1_;1_1273_
-1;0;0;-1;0.780774;479.143;spherefollowing;RANSAC;-2.29439;-2.40503;0.336278;-2.28413;-2.31592;0.539922;0.150373;0.222525;unknown species;Pinus_01;24.4383;5;6.04352;1274;1;0;26.533;NO_ALLOM;1.01034;Pinus_01.ply;0.801138;18.9996;16.5377;26.9258;28.9074;0.32;-2.29116;-2.50049;2_;1_1273_
-1;0;0;-1;0.764966;478.92;spherefollowing;RANSAC;-2.28299;-2.31121;0.538651;-2.33109;-2.2503;0.740824;0.134629;0.216557;unknown species;Pinus_01;24.2207;5;6.04352;1274;2;1;26.533;NO_ALLOM;1.22093;Pinus_01.ply;0.801138;18.9996;16.5377;26.9258;28.9074;0.32;-2.29116;-2.50049;3_;1_1273_
-1;0;0;-1;0.752635;478.704;spherefollowing;RANSAC;-2.34078;-2.24836;0.741938;-2.31772;-2.17181;0.932104;0.126934;0.206286;unknown species;Pinus_01;24.0103;5;6.04352;1274;3;2;26.533;NO_ALLOM;1.41694;Pinus_01.ply;0.801138;18.9996;16.5377;26.9258;28.9074;0.32;-2.29116;-2.50049;4_;1_1273_
-1;0;0;-1;0.742193;478.498;spherefollowing;RANSAC;-2.31231;-2.17078;0.931514;-2.31272;-2.11452;1.11767;0.134629;0.194469;unknown species;Pinus_01;23.8115;5;6.04352;1274;4;3;26.533;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;1.5996;Pinus_01.ply;0.801138;18.9996;16.5377;26.9258;28.9074;0.32;-2.29116;-2.50049;5_;1_1273_
-1;0;0;-1;0.73112;478.303;spherefollowing;RANSAC;-2.31316;-2.11168;1.11771;-2.31929;-2.09878;1.30111;0.142094;0.183956;unknown species;Pinus_01;23.6243;5;6.04352;1274;5;4;26.533;NO_ALLOM;1.77304;Pinus_01.ply;0.801138;18.9996;16.5377;26.9258;28.9074;0.32;-2.29116;-2.50049;6_;1_1273_
-1;0;0;-1;0.719451;478.119;spherefollowing;RANSAC;-2.31847;-2.09737;1.30106;-2.30579;-2.07845;1.50544;0.13777;0.205638;unknown species;Pinus_01;23.4335;5;6.04352;1274;6;5;26.533;NO_ALLOM;2.00036;Pinus_01.ply;0.801138;18.9996;16.5377;26.9258;28.9074;0.32;-2.29116;-2.50049;7_;1_1273_
-1;0;0;-1;0.707189;477.914;spherefollowing;RANSAC;-2.30484;-2.08786;1.50847;-2.30731;-2.02615;1.69603;0.132346;0.197468;unknown species;Pinus_01;23.2329;5;6.04352;1274;7;6;26.533;NO_ALLOM;2.18966;Pinus_01.ply;0.801138;18.9996;16.5377;26.9258;28.9074;0.32;-2.29116;-2.50049;8_;1_1273_
-1;0;0;-1;0.696323;477.716;spherefollowing;RANSAC;-2.30605;-2.0223;1.69602;-2.29722;-2.00175;1.89713;0.137669;0.202349;unknown species;Pinus_01;23.033;5;6.04352;1274;8;7;26.533;NO_ALLOM;2.39689;Pinus_01.ply;0.801138;18.9996;16.5377;26.9258;28.9074;0.32;-2.29116;-2.50049;9_;1_1273_
-1;0;0;-1;0.684275;477.514;spherefollowing;RANSAC;-2.29873;-1.99687;1.89689;-2.29444;-1.97069;2.09417;0.139755;0.199051;unknown species;Pinus_01;22.8323;5;6.04352;1274;9;8;26.533;NO_ALLOM;2.59264;Pinus_01.ply;0.801138;18.9996;16.5377;26.9258;28.9074;0.32;-2.29116;-2.50049;10_;1_1273_
-1;0;0;-1;0.672061;477.315;spherefollowing;RANSAC;-2.30053;-1.97286;2.09462;-2.29642;-1.9602;2.28797;0.122901;0.193809;unknown species;Pinus_01;22.637;5;6.04352;1274;10;9;26.533;NO_ALLOM;2.78121;Pinus_01.ply;0.801138;18.9996;16.5377;26.9258;28.9074;0.32;-2.29116;-2.50049;11_;1_1273_
-1;0;0;-1;0.662864;477.121;spherefollowing;RANSAC;-2.29103;-1.95926;2.28794;-2.29379;-1.93424;2.48154;0.136328;0.195231;unknown species;Pinus_01;22.4429;5;6.04352;1274;11;10;26.533;NO_ALLOM;2.97786;Pinus_01.ply;0.801138;18.9996;16.5377;26.9258;28.9074;0.32;-2.29116;-2.50049;12_;1_1273_
-1;0;0;-1;0.651465;476.926;spherefollowing;RANSAC;-2.29348;-1.928;2.48134;-2.27665;-1.89909;2.67634;0.127344;0.19785;unknown species;Pinus_01;22.2452;5;6.04352;1274;12;11;26.533;NO_ALLOM;3.17833;Pinus_01.ply;0.801138;18.9996;16.5377;26.9258;28.9074;0.32;-2.29116;-2.50049;13_;1_1273_
-1;0;0;-1;0.641386;476.728;spherefollowing;RANSAC;-2.27319;-1.90147;2.67629;-2.24519;-1.87765;2.8838;0.12837;0.210749;unknown species;Pinus_01;22.0419;5;6.04352;1274;13;12;26.533;NO_ALLOM;3.40198;Pinus_01.ply;0.801138;18.9996;16.5377;26.9258;28.9074;0.32;-2.29116;-2.50049;14_;1_1273_
-1;0;0;-1;0.630476;476.517;spherefollowing;RANSAC;-2.24944;-1.88016;2.88478;-2.24399;-1.85096;3.06137;0.117079;0.179069;unknown species;Pinus_01;21.8467;5;6.04352;1274;14;13;26.533;NO_ALLOM;3.54937;Pinus_01.ply;0.801138;18.9996;16.5377;26.9258;28.9074;0.32;-2.29116;-2.50049;15_;1_1273_
-1;0;0;-1;0.622764;476.338;spherefollowing;RANSAC;-2.24527;-1.85153;3.06156;-2.23271;-1.82914;3.23124;0.111352;0.171616;unknown species;Pinus_01;21.6708;5;6.04352;1274;15;14;26.533;NO_ALLOM;3.71353;Pinus_01.ply;0.801138;18.9996;16.5377;26.9258;28.9074;0.32;-2.29116;-2.50049;16_;1_1273_
-1;0;0;-1;0.616079;476.166;spherefollowing;RANSAC;-2.23433;-1.82828;3.23128;-2.22552;-1.8017;3.39807;0.113081;0.169129;unknown species;Pinus_01;21.4997;5;6.04352;1274;16;15;26.533;NO_ALLOM;3.88017;Pinus_01.ply;0.801138;18.9996;16.5377;26.9258;28.9074;0.32;-2.29116;-2.50049;17_;1_1273_
-1;0;0;-1;0.609285;475.997;spherefollowing;RANSAC;-2.22592;-1.80058;3.39791;-2.21755;-1.77418;3.56581;0.112918;0.170171;unknown species;Pinus_01;21.3292;5;6.04352;1274;17;16;26.533;NO_ALLOM;4.05138;Pinus_01.ply;0.801138;18.9996;16.5377;26.9258;28.9074;0.32;-2.29116;-2.50049;18_;1_1273_
