branch_ID;branch_order;segment_ID;parent_segment_ID;growth_volume;growth_length;detection;improvement;startX;startY;startZ;endX;endY;endZ;radius;length;species;ID;length_to_leave; inverse_branch_order; length_of_segment;branch_order_cum; cylinder_ID; cylinder_parent_ID; reverse_pipe_order;Allometric_improved;length_to_root;tree_ID; volume (m^3); length (m); height (m); DBH (cm); DBH_taper_linear (cm); cut_height (m);x_position;y_position; cylinder_children_id;segment_children_id
-1;0;0;-1;0.190607;415.776;spherefollowing;RANSAC;3.76921;4.44849;0.201606;3.74335;4.45715;0.354589;0.0914712;0.155394;unknown species;cherry_2_16_1;11.9987;5;1.73719;1027;0;-1;23.8956;NO_ALLOM;0.630788;cherry_2_16_1.ply;0.190607;11.0171;10.1566;15.5163;17.4018;0.32;3.76921;4.44849;1_;1_994_
-1;0;0;-1;0.186523;415.621;spherefollowing;RANSAC;3.74346;4.45626;0.354675;3.72876;4.46701;0.494874;0.0874611;0.141377;unknown species;cherry_2_16_1;11.8503;5;1.73719;1027;1;0;23.8956;NO_ALLOM;0.758148;cherry_2_16_1.ply;0.190607;11.0171;10.1566;15.5163;17.4018;0.32;3.76921;4.44849;2_;1_994_
-1;0;0;-1;0.183125;415.479;spherefollowing;RANSAC;3.72908;4.46931;0.494684;3.71762;4.47329;0.628812;0.0845665;0.134676;unknown species;cherry_2_16_1;11.7125;5;1.73719;1027;2;1;23.8956;NO_ALLOM;0.886122;cherry_2_16_1.ply;0.190607;11.0171;10.1566;15.5163;17.4018;0.32;3.76921;4.44849;3_;1_994_
-1;0;0;-1;0.1801;415.345;spherefollowing;RANSAC;3.71648;4.47347;0.628726;3.70006;4.48359;0.764328;0.0836256;0.136966;unknown species;cherry_2_16_1;11.5767;5;1.73719;1027;3;2;23.8956;NO_ALLOM;1.02538;cherry_2_16_1.ply;0.190607;11.0171;10.1566;15.5163;17.4018;0.32;3.76921;4.44849;4_;1_994_
-1;0;0;-1;0.17709;415.208;spherefollowing;RANSAC;3.70099;4.48533;0.764372;3.68337;4.48893;0.892369;0.0851518;0.129254;unknown species;cherry_2_16_1;11.4435;5;1.73719;1027;4;3;23.8956;NO_ALLOM;1.14692;cherry_2_16_1.ply;0.190607;11.0171;10.1566;15.5163;17.4018;0.32;3.76921;4.44849;5_;1_994_
-1;0;0;-1;0.174146;415.079;spherefollowing;RANSAC;3.68223;4.48596;0.892743;3.67005;4.49632;1.01246;0.088122;0.120784;unknown species;cherry_2_16_1;11.3183;5;1.73719;1027;5;4;23.8956;NO_ALLOM;1.25924;cherry_2_16_1.ply;0.190607;11.0171;10.1566;15.5163;17.4018;0.32;3.76921;4.44849;6_;1_994_
-1;0;0;-1;0.171199;414.958;spherefollowing;RANSAC;3.66924;4.49608;1.01254;3.65381;4.50814;1.16824;0.080789;0.15693;unknown species;cherry_2_16_1;11.1793;5;1.73719;1027;6;5;23.8956;NO_ALLOM;1.45231;cherry_2_16_1.ply;0.190607;11.0171;10.1566;15.5163;17.4018;0.32;3.76921;4.44849;7_;1_994_
-1;0;0;-1;0.167982;414.801;spherefollowing;RANSAC;3.65306;4.50789;1.16818;3.63966;4.51701;1.29995;0.0775815;0.132755;unknown species;cherry_2_16_1;11.0345;5;1.73719;1027;7;6;23.8956;NO_ALLOM;1.56089;cherry_2_16_1.ply;0.190607;11.0171;10.1566;15.5163;17.4018;0.32;3.76921;4.44849;8_;1_994_
-1;0;0;-1;0.165471;414.668;spherefollowing;RANSAC;3.63891;4.51686;1.29994;3.63305;4.5288;1.4243;0.0789656;0.125067;unknown species;cherry_2_16_1;10.9056;5;1.73719;1027;8;7;23.8956;NO_ALLOM;1.67827;cherry_2_16_1.ply;0.190607;11.0171;10.1566;15.5163;17.4018;0.32;3.76921;4.44849;9_;1_994_
-1;0;0;-1;0.163021;414.543;spherefollowing;RANSAC;3.633;4.5288;1.4243;3.62281;4.53687;1.54987;0.0786982;0.126248;unknown species;cherry_2_16_1;10.7801;5;1.73719;1027;9;8;23.8956;NO_ALLOM;1.8057;cherry_2_16_1.ply;0.190607;11.0171;10.1566;15.5163;17.4018;0.32;3.76921;4.44849;10_;1_994_
