branch_ID;branch_order;segment_ID;parent_segment_ID;growth_volume;growth_length;detection;improvement;startX;startY;startZ;endX;endY;endZ;radius;length;species;ID;length_to_leave; inverse_branch_order; length_of_segment;branch_order_cum; cylinder_ID; cylinder_parent_ID; reverse_pipe_order;Allometric_improved;length_to_root;tree_ID; volume (m^3); length (m); height (m); DBH (cm); DBH_taper_linear (cm); cut_height (m);x_position;y_position; cylinder_children_id;segment_children_id
-1;0;0;-1;0.700489;395.106;spherefollowing;RANSAC;1.60457;46.4376;2.86749;1.5907;46.3693;3.11955;0.13184;0.26154;unknown species;Tectona4_2;30.4098;5;0.26154;1022;0;-1;23.0868;NO_ALLOM;0.843079;Tectona4_2.ply;0.700489;30.1336;23.6788;22.4559;24.9263;0.32;1.60457;46.4376;1_4947_;1_1013_
-1;0;1;0;0.685758;392.312;spherefollowing;RANSAC;1.5907;46.3693;3.11955;1.62053;46.3118;3.3667;0.13184;0.255497;unknown species;Tectona4_2;30.1512;5;2.44275;1012;1;0;22.9783;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;1.09253;Tectona4_2.ply;0.700489;30.1336;23.6788;22.4559;24.9263;0.32;1.60457;46.4376;2_;2_1012_
-1;0;1;0;0.671806;392.056;spherefollowing;RANSAC;1.6209;46.3233;3.36962;1.62415;46.2807;3.60201;0.13184;0.23628;unknown species;Tectona4_2;29.905;5;2.44275;1012;2;1;22.9783;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;1.3096;Tectona4_2.ply;0.700489;30.1336;23.6788;22.4559;24.9263;0.32;1.60457;46.4376;3_;2_1012_
-1;0;1;0;0.658904;391.82;spherefollowing;RANSAC;1.62463;46.2842;3.60292;1.61785;46.237;3.83278;0.133482;0.234763;unknown species;Tectona4_2;29.6696;5;2.44275;1012;3;2;22.9783;NO_ALLOM;1.54284;Tectona4_2.ply;0.700489;30.1336;23.6788;22.4559;24.9263;0.32;1.60457;46.4376;4_;2_1012_
-1;0;1;0;0.645763;391.585;spherefollowing;RANSAC;1.61895;46.2323;3.83252;1.62145;46.2133;4.05975;0.112279;0.228041;unknown species;Tectona4_2;29.4383;5;2.44275;1012;4;3;22.9783;NO_ALLOM;1.76416;Tectona4_2.ply;0.700489;30.1336;23.6788;22.4559;24.9263;0.32;1.60457;46.4376;5_;2_1012_
-1;0;1;0;0.636732;391.357;spherefollowing;RANSAC;1.62673;46.2085;4.06001;1.62323;46.1608;4.27779;0.105905;0.222964;unknown species;Tectona4_2;29.2122;5;2.44275;1012;5;4;22.9783;NO_ALLOM;1.98205;Tectona4_2.ply;0.700489;30.1336;23.6788;22.4559;24.9263;0.32;1.60457;46.4376;6_;2_1012_
-1;0;1;0;0.628876;391.134;spherefollowing;RANSAC;1.6205;46.1697;4.28014;1.63702;46.1367;4.49629;0.10866;0.21928;unknown species;Tectona4_2;28.9905;5;2.44275;1012;6;5;22.9783;NO_ALLOM;2.19764;Tectona4_2.ply;0.700489;30.1336;23.6788;22.4559;24.9263;0.32;1.60457;46.4376;7_;2_1012_
-1;0;1;0;0.620743;390.915;spherefollowing;RANSAC;1.63737;46.134;4.49611;1.63287;46.0926;4.70438;0.111751;0.212397;unknown species;Tectona4_2;28.7749;5;2.44275;1012;7;6;22.9783;NO_ALLOM;2.40316;Tectona4_2.ply;0.700489;30.1336;23.6788;22.4559;24.9263;0.32;1.60457;46.4376;8_;2_1012_
-1;0;1;0;0.61241;390.702;spherefollowing;RANSAC;1.63575;46.0928;4.70471;1.64987;46.0743;4.919;0.110594;0.215547;unknown species;Tectona4_2;28.5611;5;2.44275;1012;8;7;22.9783;NO_ALLOM;2.62186;Tectona4_2.ply;0.700489;30.1336;23.6788;22.4559;24.9263;0.32;1.60457;46.4376;9_;2_1012_
-1;0;1;0;0.604129;390.487;spherefollowing;RANSAC;1.65021;46.0706;4.91888;1.6558;46.0365;5.12579;0.108745;0.209772;unknown species;Tectona4_2;28.3485;5;2.44275;1012;9;8;22.9783;NO_ALLOM;2.82585;Tectona4_2.ply;0.700489;30.1336;23.6788;22.4559;24.9263;0.32;1.60457;46.4376;10_;2_1012_
-1;0;1;0;0.596336;390.277;spherefollowing;RANSAC;1.65782;46.0407;5.12632;1.67317;46.0181;5.3288;0.104346;0.204312;unknown species;Tectona4_2;28.1417;5;2.44275;1012;10;9;22.9783;NO_ALLOM;3.0247;Tectona4_2.ply;0.700489;30.1336;23.6788;22.4559;24.9263;0.32;1.60457;46.4376;11_;2_1012_
-1;0;1;0;0.589347;390.073;spherefollowing;RANSAC;1.67278;46.0164;5.32832;1.68483;46.0154;5.53186;0.104346;0.203902;unknown species;Tectona4_2;27.9383;5;2.44275;1012;11;10;22.9783;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;3.2282;Tectona4_2.ply;0.700489;30.1336;23.6788;22.4559;24.9263;0.32;1.60457;46.4376;12_4939_;2_1012_
