Branching2ID,PlotID,TreeID,NodeID,Parent_Node,Diameter_base,Diameter_top,Length,branch_order
126,T06,GUY06_000,2,1,72,52.1,20.7,0
127,T06,GUY06_000,11,2,52.1,45,1.5,1
128,T06,GUY06_000,3,2,37.1,34.1,3.15,1
129,T06,GUY06_000,4,3,15.3,13.7,1.1,2
130,T06,GUY06_000,5,3,34.1,37.7,1,2
131,T06,GUY06_000,6,5,34.7,13,0.6,3
132,T06,GUY06_000,7,5,36.4,16,4.6,3
133,T06,GUY06_000,8,7,11.5,10,1.2,4
134,T06,GUY06_000,9,7,16,10,1.8,4
135,T06,GUY06_000,10,7,17,10,2.6,4
136,T06,GUY06_000,15,11,29.4,23.4,5.2,2
137,T06,GUY06_000,16,15,18.4,10,3.6,3
138,T06,GUY06_000,17,15,23.4,10,4.3,3
139,T06,GUY06_000,18,11,30,24,2,2
140,T06,GUY06_000,22,18,17,10,2.6,3
141,T06,GUY06_000,21,18,30,21.5,5,3
142,T06,GUY06_000,20,18,21.5,10,1,3
143,T06,GUY06_000,19,18,21.5,10,0.7,3
144,T06,GUY06_000,12,11,25,19.8,4.1,2
145,T06,GUY06_000,14,12,14,10,0.4,3
146,T06,GUY06_000,13,12,19.8,10,5.6,3
147,T06,GUY06_000,23,11,45,28,2.9,2
148,T06,GUY06_000,24,23,28,10,6.8,3
149,T06,GUY06_000,25,23,28,15.5,5.3,3
150,T06,GUY06_000,26,25,10.5,10,0.3,4
151,T06,GUY06_000,27,25,15.5,10,1.4,4
