branch_ID;branch_order;segment_ID;parent_segment_ID;growth_volume;growth_length;detection;improvement;startX;startY;startZ;endX;endY;endZ;radius;length;species;ID;length_to_leave; inverse_branch_order; length_of_segment;branch_order_cum; cylinder_ID; cylinder_parent_ID; reverse_pipe_order;Allometric_improved;length_to_root;tree_ID; volume (m^3); length (m); height (m); DBH (cm); DBH_taper_linear (cm); cut_height (m);x_position;y_position; cylinder_children_id;segment_children_id
-1;0;0;-1;0.0920554;352.232;spherefollowing;NO;9.57404;3.28516;-2.13935;7.5929;4.02702;-1.79479;0.0459461;2.14336;unknown species;sample_cloud;26.5712;5;2.14336;894;0;-1;21.6333;ALLOM_TAPER;4.60673;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;1_3930_3934_;1_892_893_
-1;0;1;0;0.0775118;346.366;spherefollowing;NO;7.5929;4.02702;-1.79479;7.38175;4.41717;-1.72872;0.0402577;0.448516;unknown species;sample_cloud;25.2752;5;0.448516;891;1;0;21.587;ALLOM_TAPER;3.3604;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;2_3659_;2_816_
-1;0;2;1;0.0739763;323.246;spherefollowing;NO;7.5929;4.02702;-1.79479;7.20343;3.75736;-1.81278;0.0405069;0.474048;unknown species;sample_cloud;24.7898;5;0.715887;814;2;1;20.664;ALLOM_TAPER;3.85998;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;3_;3_810_815_
-1;0;2;1;0.0715327;322.772;spherefollowing;NO;7.20343;3.75736;-1.81278;6.98816;3.85884;-1.76986;0.0410769;0.241839;unknown species;sample_cloud;24.4654;5;0.715887;814;3;2;20.664;ALLOM_TAPER;3.86961;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;4_3623_3653_;3_810_815_
-1;0;3;2;0.0701198;318.342;spherefollowing;NO;6.98816;3.85884;-1.76986;6.88742;3.84446;-1.75734;0.0426368;0.102529;unknown species;sample_cloud;24.2838;5;0.102529;807;4;3;20.567;NO_ALLOM;3.83282;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;5_3621_;4_809_
-1;0;4;3;0.0695337;318.066;spherefollowing;NO;6.88742;3.84446;-1.75734;6.77261;3.84397;-1.73856;0.0398416;0.116334;unknown species;sample_cloud;24.1631;5;0.934098;805;5;4;20.5426;ALLOM_TAPER;3.96296;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;6_;5_803_808_
-1;0;4;3;0.0689535;317.95;spherefollowing;RANSAC;6.75832;3.84523;-1.73978;6.74784;3.84748;-1.73901;0.0396238;0.0107468;unknown species;sample_cloud;24.072;5;0.934098;805;6;5;20.5426;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;3.86812;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;7_;5_803_808_
-1;0;4;3;0.0689005;317.939;spherefollowing;NO;6.74971;3.84712;-1.73849;6.68197;3.94299;-1.72406;0.039406;0.11827;unknown species;sample_cloud;24.0157;5;0.934098;805;7;6;20.5426;ALLOM_TAPER;4.09392;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;8_;5_803_808_
-1;0;4;3;0.0683236;317.821;spherefollowing;RANSAC;6.68197;3.94299;-1.72406;6.66212;3.99036;-1.61461;0.0396238;0.120903;unknown species;sample_cloud;23.9214;5;0.934098;805;8;7;20.5426;ALLOM_MEDIAN_INSIDE_SEGMENT;4.21745;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;9_;5_803_808_
-1;0;4;3;0.0677272;317.7;spherefollowing;RANSAC;6.66212;3.99036;-1.61461;6.58121;4.00919;-1.5998;0.0396238;0.0843889;unknown species;sample_cloud;23.8393;5;0.934098;805;9;8;20.5426;ALLOM_MEDIAN_INSIDE_SEGMENT;4.26533;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;10_;5_803_808_
-1;0;4;3;0.067311;317.615;spherefollowing;RANSAC;6.58121;4.00919;-1.5998;6.4731;4.08647;-1.67592;0.0396238;0.153144;unknown species;sample_cloud;23.7266;5;0.934098;805;10;9;20.5426;ALLOM_MEDIAN_INSIDE_SEGMENT;4.48723;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;11_;5_803_808_
-1;0;4;3;0.0665556;317.462;spherefollowing;NO;6.4731;4.08647;-1.67592;6.37248;4.1705;-1.65873;0.0376415;0.132214;unknown species;sample_cloud;23.5872;5;0.934098;805;11;10;20.5426;ALLOM_TAPER;4.59851;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;12_;5_803_808_
-1;0;4;3;0.0659671;317.33;spherefollowing;NO;6.37248;4.1705;-1.65873;6.17632;4.14307;-1.66223;0.0374518;0.198098;unknown species;sample_cloud;23.415;5;0.934098;805;12;11;20.5426;ALLOM_TAPER;4.86249;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;13_3595_3619_;5_803_808_
-1;0;5;4;0.0650588;314.677;spherefollowing;RANSAC;6.17632;4.14307;-1.66223;6.10051;4.15453;-1.57902;0.0452075;0.113145;unknown species;sample_cloud;23.2353;5;0.218222;798;13;12;20.445;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;4.89068;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;14_;6_800_
-1;0;5;4;0.0643323;314.564;spherefollowing;RANSAC;6.10789;4.15446;-1.57628;6.0558;4.24477;-1.56319;0.0452075;0.105077;unknown species;sample_cloud;23.1386;5;0.218222;798;14;13;20.445;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;4.98769;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;15_3588_;6_800_
-1;0;6;5;0.0636534;313.702;spherefollowing;RANSAC;6.10789;4.15446;-1.57628;5.95259;4.27838;-1.6428;0.0452075;0.209521;unknown species;sample_cloud;22.955;5;0.652133;794;15;14;20.3961;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;5.30166;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;16_;7_797_
-1;0;6;5;0.0623081;313.492;spherefollowing;RANSAC;5.94178;4.26064;-1.62343;5.87141;4.3185;-1.64004;0.0452075;0.0925995;unknown species;sample_cloud;22.7912;5;0.652133;794;16;15;20.3961;NO_ALLOM;5.27734;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;17_;7_797_
-1;0;6;5;0.0617136;313.4;spherefollowing;RANSAC;5.87198;4.3318;-1.66201;5.82294;4.32981;-1.69467;0.0641851;0.0589526;unknown species;sample_cloud;22.7255;5;0.652133;794;17;16;20.3961;NO_ALLOM;5.30264;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;18_;7_797_
-1;0;6;5;0.0609506;313.341;spherefollowing;RANSAC;5.82192;4.32471;-1.70288;5.7228;4.31792;-1.62833;0.0687216;0.124208;unknown species;sample_cloud;22.6684;5;0.652133;794;18;17;20.3961;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;5.49211;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;19_;7_797_
-1;0;6;5;0.0591077;313.217;spherefollowing;RANSAC;5.71874;4.31279;-1.59171;5.70862;4.32836;-1.53208;0.0687216;0.0624586;unknown species;sample_cloud;22.5788;5;0.652133;794;19;18;20.3961;NO_ALLOM;5.49282;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;20_;7_797_
-1;0;6;5;0.0581811;313.154;spherefollowing;RANSAC;5.70772;4.32965;-1.52225;5.65267;4.41561;-1.50039;0.0992855;0.104394;unknown species;sample_cloud;22.4915;5;0.652133;794;20;19;20.3961;NO_ALLOM;5.63914;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;21_3574_;7_797_
-1;0;7;6;0.0548867;312.137;spherefollowing;RANSAC;5.71874;4.31279;-1.59171;5.70733;4.20639;-1.61973;0.100536;0.110617;unknown species;sample_cloud;22.3644;5;0.492705;790;21;20;20.347;NO_ALLOM;5.75598;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;22_;8_796_
-1;0;7;6;0.0513742;312.026;spherefollowing;RANSAC;5.70502;4.18598;-1.66367;5.68702;4.13867;-1.71268;0.0992855;0.0704564;unknown species;sample_cloud;22.2316;5;0.492705;790;22;21;20.347;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;5.78628;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;23_;8_796_
-1;0;7;6;0.0491923;311.956;spherefollowing;RANSAC;5.68402;4.12693;-1.71412;5.66612;4.06721;-1.64328;0.0978984;0.0943693;unknown species;sample_cloud;22.1641;5;0.492705;790;23;22;20.347;NO_ALLOM;5.90456;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;24_;8_796_
-1;0;7;6;0.0463509;311.862;spherefollowing;RANSAC;5.67517;4.057;-1.60903;5.65661;4.03996;-1.57202;0.0657742;0.0447687;unknown species;sample_cloud;22.1265;5;0.492705;790;24;23;20.347;NO_ALLOM;5.89973;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;25_;8_796_
-1;0;7;6;0.0457424;311.817;spherefollowing;RANSAC;5.65661;4.03996;-1.57202;5.67474;3.89291;-1.66036;0.0657742;0.172494;unknown species;sample_cloud;22.0325;5;0.492705;790;25;24;20.347;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;6.19995;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;26_3572_;8_796_
-1;0;8;7;0.0433922;311.432;spherefollowing;RANSAC;5.67474;3.89291;-1.66036;5.65362;3.86153;-1.66642;0.0657416;0.038312;unknown species;sample_cloud;21.9066;5;0.544443;788;26;25;20.3224;ALLOM_PIPE;6.10408;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;27_;9_795_
-1;0;8;7;0.042872;311.393;spherefollowing;RANSAC;5.65362;3.86153;-1.66642;5.59623;3.79413;-1.64746;0.0656091;0.090536;unknown species;sample_cloud;21.8197;5;0.544443;788;27;26;20.3224;ALLOM_PIPE;6.24684;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;28_;9_795_
-1;0;8;7;0.0416477;311.303;spherefollowing;RANSAC;5.59623;3.79413;-1.64746;5.48094;3.73789;-1.68028;0.0652961;0.132405;unknown species;sample_cloud;21.6975;5;0.544443;788;28;27;20.3224;ALLOM_PIPE;6.42111;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;29_;9_795_
-1;0;8;7;0.0398742;311.171;spherefollowing;RANSAC;5.48094;3.73789;-1.68028;5.49445;3.70061;-1.668;0.0648394;0.0415115;unknown species;sample_cloud;21.6469;5;0.544443;788;29;28;20.3224;ALLOM_PIPE;6.37173;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;30_;9_795_
-1;0;8;7;0.0393259;311.129;spherefollowing;RANSAC;5.49445;3.70061;-1.668;5.43671;3.74866;-1.64432;0.0646964;0.0787575;unknown species;sample_cloud;21.6243;5;0.544443;788;30;29;20.3224;ALLOM_PIPE;6.48773;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;31_;9_795_
-1;0;8;7;0.0382903;311.05;spherefollowing;RANSAC;5.43671;3.74866;-1.64432;5.38657;3.79063;-1.62392;0.0644255;0.0684966;unknown species;sample_cloud;21.5573;5;0.544443;788;31;30;20.3224;ALLOM_PIPE;6.54597;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;32_;9_795_
-1;0;8;7;0.0373971;310.982;spherefollowing;RANSAC;5.38725;3.78999;-1.62123;5.33126;3.85571;-1.58298;0.0641901;0.0944244;unknown species;sample_cloud;21.4594;5;0.544443;788;32;31;20.3224;ALLOM_PIPE;6.66632;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;33_3570_;9_795_
-1;0;9;8;0.0361737;310.776;spherefollowing;RANSAC;5.33126;3.85571;-1.58298;5.29426;3.91837;-1.58522;0.0389798;0.0728;unknown species;sample_cloud;21.3541;5;0.339385;786;33;32;20.2978;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;6.7175;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;34_;10_794_
-1;0;9;8;0.0358262;310.703;spherefollowing;RANSAC;5.2928;3.91683;-1.58214;5.2456;3.98122;-1.55047;0.0389798;0.0858914;unknown species;sample_cloud;21.2763;5;0.339385;786;34;33;20.2978;NO_ALLOM;6.81648;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;35_;10_794_
-1;0;9;8;0.0354161;310.618;spherefollowing;RANSAC;5.24932;3.98868;-1.54096;5.21907;4.04248;-1.54371;0.0545438;0.0617833;unknown species;sample_cloud;21.2001;5;0.339385;786;35;34;20.2978;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;6.85416;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;36_;10_794_
-1;0;9;8;0.0348387;310.556;spherefollowing;RANSAC;5.22161;4.04582;-1.53881;5.13873;4.12859;-1.5593;0.0545438;0.11891;unknown species;sample_cloud;21.1113;5;0.339385;786;36;35;20.2978;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;7.03019;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;37_3567_;10_794_
-1;0;10;9;0.0337242;310.204;spherefollowing;RANSAC;5.13873;4.12859;-1.5593;5.06253;4.10064;-1.51975;0.0545438;0.0902864;unknown species;sample_cloud;21.0064;5;0.0902864;784;37;36;20.2731;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;7.09185;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;38_3442_3565_;11_768_793_
-1;0;11;10;0.0318342;299.286;spherefollowing;RANSAC;5.06253;4.10064;-1.51975;5.02158;4.09712;-1.49528;0.0545438;0.0478363;unknown species;sample_cloud;20.9364;5;0.212039;757;38;37;19.9249;NO_ALLOM;7.09724;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;39_;12_767_
-1;0;11;10;0.0313871;299.238;spherefollowing;RANSAC;5.02017;4.09543;-1.48916;4.94664;4.03754;-1.50206;0.0490295;0.094466;unknown species;sample_cloud;20.8709;5;0.212039;757;39;38;19.9249;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;7.23834;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;40_;12_767_
-1;0;11;10;0.0306737;299.144;spherefollowing;RANSAC;4.95567;4.02569;-1.50982;4.91144;3.97925;-1.53722;0.0490295;0.0697365;unknown species;sample_cloud;20.7868;5;0.212039;757;40;39;19.9249;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;7.28334;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;41_3440_;12_767_
-1;0;12;11;0.0301446;298.902;spherefollowing;RANSAC;4.91144;3.97925;-1.53722;4.84;3.96366;-1.55215;0.0490295;0.0746297;unknown species;sample_cloud;20.6996;5;0.840012;755;41;40;19.8997;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;7.36287;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;42_;13_760_
-1;0;12;11;0.029581;298.827;spherefollowing;RANSAC;4.83802;3.96955;-1.55499;4.75096;3.98193;-1.56749;0.0490295;0.0888201;unknown species;sample_cloud;20.5916;5;0.840012;755;42;41;19.8997;NO_ALLOM;7.46588;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;43_;13_760_
-1;0;12;11;0.0289102;298.738;spherefollowing;RANSAC;4.73638;3.99152;-1.56441;4.71946;4.02384;-1.55075;0.0490295;0.038956;unknown species;sample_cloud;20.5043;5;0.840012;755;43;42;19.8997;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;7.45497;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;44_;13_760_
-1;0;12;11;0.028616;298.699;spherefollowing;NO;4.71585;4.0328;-1.54366;4.69312;4.0938;-1.5089;0.0438449;0.0737952;unknown species;sample_cloud;20.4644;5;0.840012;755;44;43;19.8997;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;7.5636;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;45_;13_760_
-1;0;12;11;0.0281704;298.625;spherefollowing;RANSAC;4.69029;4.08989;-1.50565;4.61584;4.1211;-1.50654;0.0438449;0.080733;unknown species;sample_cloud;20.3959;5;0.840012;755;45;44;19.8997;NO_ALLOM;7.65127;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;46_;13_760_
-1;0;12;11;0.0276828;298.545;spherefollowing;RANSAC;4.61571;4.12251;-1.49696;4.54004;4.14996;-1.48072;0.0438449;0.0821198;unknown species;sample_cloud;20.3131;5;0.840012;755;46;45;19.8997;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;7.73478;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;47_;13_760_
-1;0;12;11;0.0271868;298.463;spherefollowing;NO;4.54113;4.15772;-1.47784;4.45933;4.11989;-1.46864;0.0438449;0.0905872;unknown species;sample_cloud;20.2352;5;0.840012;755;47;46;19.8997;ALLOM_PIPE_MEDIAN_OVER_SEGMENT;7.83384;sample_cloud.xyb;0.0920554;23.9303;3.30311;4.5818;6.97353;0.32;9.57404;3.28516;48_;13_760_
