SITE,LIDAR_ID,CENSUS_ID,SPP,SOURCE,GENUS,SPECIES,FILENAME
WYT,10,3414,FRAXEX,OXFORD,Fraxinus,excelsior,wytham_winter_10
WYT,45,4278,ACERPS,OXFORD,Acer,pseudoplatanus,wytham_winter_45
WYT,70,4481,ACERPS,OXFORD,Acer,pseudoplatanus,wytham_winter_70
WYT,81,3704,QUERRO,OXFORD,Quercus,robur,wytham_winter_81
WYT,195,3588,QUERRO,OXFORD,Quercus,robur,wytham_winter_195
WYT,229,4707,ACERPS,OXFORD,Acer,pseudoplatanus,wytham_winter_229
WYT,291,4543,ACERPS,OXFORD,Acer,pseudoplatanus,wytham_winter_291
WYT,424,3614,ACERPS,OXFORD,Acer,pseudoplatanus,wytham_winter_424
WYT,446,4197,ACERPS,OXFORD,Acer,pseudoplatanus,wytham_winter_446
WYT,600,4588,ACERPS,OXFORD,Acer,pseudoplatanus,wytham_winter_600
WYT,869,4937,ACERPS,OXFORD,Acer,pseudoplatanus,wytham_winter_869
WYT,990,4561,ACERPS,OXFORD,Acer,pseudoplatanus,wytham_winter_990
WYT,1551,3720,ACERPS,OXFORD,Acer,pseudoplatanus,wytham_winter_1551
WYT,1777,4984,ACERPS,OXFORD,Acer,pseudoplatanus,wytham_winter_1777
WYT,2225,3682,ACERPS,OXFORD,Acer,pseudoplatanus,wytham_winter_2225
GUY,,,EPEGRA,OXFORD,Eperua,grandiflora,GUY01
GUY,,,EPEGRA,OXFORD,Eperua,grandiflora,GUY02
GUY,,,EPEGRA,OXFORD,Eperua,grandiflora,GUY03
GUY,,,EPEGRA,OXFORD,Eperua,grandiflora,GUY04
GUY,,,EPEGRA,OXFORD,Eperua,grandiflora,GUY05
GUY,,,EPEGRA,OXFORD,Eperua,grandiflora,GUY06
GUY,,,EPEGRA,OXFORD,Eperua,grandiflora,GUY07
GUY,,,EPEGRA,OXFORD,Eperua,grandiflora,GUY08
GUY,,,ORMCOU,OXFORD,Ormosia,coutinhoi,GUY09
GUY,,,EPEFAL,OXFORD,Eperua,falcata,GUY10
CAM,1,,PENMAC,MOMO,Pentaclethra,macrophylla,1_sans_feuilles
CAM,2,,TRISCL,MOMO,Triplochiton,scleroxylon,2_sans_feuilles
CAM,3,,PETMAC,MOMO,Petersianthus,macrocarpus,3_sans_feuilles
CAM,4,,PYCANG,MOMO,Pycnanthus,angolensis,4_sans_feuilles
CAM,5,,TERSUP,MOMO,Terminalia,superba,5_sans_feuilles
CAM,6,,TRISCL,MOMO,Triplochiton,scleroxylon,6_sans_feuilles
CAM,7,,ANNCHL,MOMO,Annickia,chlorantha,7_sans_feuilles
CAM,8,,TERSUP,MOMO,Terminalia,superba,8_sans_feuilles
CAM,11,,ENTCYL,MOMO,Entandrophragma,cylindricum,11_sans_feuilles
CAM,12,,TRISCL,MOMO,Triplochiton,scleroxylon,12_sans_feuilles
CAM,15,,PETMAC,MOMO,Petersianthus,macrocarpus,15_sans_feuilles
CAM,18,,TERSUP,MOMO,Terminalia,superba,18_sans_feuilles
CAM,28,,PETMAC,MOMO,Petersianthus,macrocarpus,28_sans_feuilles
CAM,29,,BAPLEP,MOMO,Baphia,leptobotrys,29_sans_feuilles
CAM,31,,PETMAC,MOMO,Petersianthus,macrocarpus,31_sans_feuilles
CAM,32,,TERSUP,MOMO,Terminalia,superba,32_sans_feuille
CAM,52,,PYCANG,MOMO,Pycnanthus,angolensis,52_sans_feuilles
CAM,54,,MANALT,MOMO,Mansonia,altissima,54_sans_feuilles
CAM,55,,TRISCL,MOMO,Triplochiton,scleroxylon,55_sans_feuilles
CAM,57,,ERYSUA,MOMO,Erythrophleum,suaveolens,57_sans_feuilles
CAM,59,,TERSUP,MOMO,Terminalia,superba,59_sans_feuilles
