"BRANCH_ORDER","BRANCH_ID","CHILD_IDS","TIPS","V_TOT","VOLUME","LENGTH","RADIUS","BETA","GAMMA","D_BETA","D_GAMMA","THETA","WBE_THETA"
"1",0,1,"2_177",0,0,0.181489314532803,5.81399,0.099681245,0,0,0,0,0,0
"2",0,2,"3_95",0,0,0.0922654725870404,5.0755746,0.0760680111111111,0,0,0,0,0,0
"3",0,3,"4_76",0,0,0.00857494687638913,0.7175983,0.0616737111111111,0,0,0,0,0,0
"4",0,4,"5_73",0,0,0.00194689602887279,0.2022912,0.0553487666666667,0,0,0,0,0,0
"5",0,5,"6_72",0,0,0.00433436986765866,0.4739026,0.0539564666666667,0,0,0,0,0,0
"6",0,6,"7_38_69",0,0,0.00129563800557593,0.140942,0.0540937,0,0,0,0,0,0
"7",0,7,"8_35",0,0,0.014158509494739,1.7952711,0.0501035862068966,0,0,0,0,0,0
"8",0,8,"9_34",0,0,0.000757818562470479,0.0928662,0.0509658,0,0,0,0,0,0
"9",0,9,"10_25",0,0,0.00175954154880733,0.2107263,0.0515543666666667,0,0,0,0,0,0
"10",0,10,"11_24",0,0,0.00223034570304729,0.2576064,0.0524968,0,0,0,0,0,0
"11",0,11,"12_19",0,0,0.00159096947289704,0.2336889,0.04655185,0,0,0,0,0,0
"12",0,12,"13_18",0,0,0.00284565471453094,0.5468489,0.0406988833333333,0,0,0,0,0,0
"13",0,13,"14_17",0,0,0.00177943362648451,0.7309474,0.02783703,0,0,0,0,0,0
"14",0,14,"15_16",0,0,0.00117179957026805,0.3757202,0.0315079,0,0,0,0,0,0
"15",0,15,"",0,0,0.00110434488620725,0.7679022,0.0213956,0,0,0,0,0,0
"16",1,16,"",0,0,3.12212080809224e-05,0.4842321,0.00453026,0,0,0,0,0,0
"17",1,17,"",0,0,0.000457788743968149,0.4847885,0.0173373,0,0,0,0,0,0
"18",1,18,"",0,0,0.000482351309011594,0.9013113,0.0130517692307692,0,0,0,0,0,0
"19",1,19,"20_23",0,0,0.00171360124346422,0.5894968,0.0304186,0,0,0,0,0,0
"20",1,20,"21_22",0,0,0.000354508081021279,0.0978628,0.033957,0,0,0,0,0,0
"21",1,21,"",0,0,0.00310219964624924,0.8563696,0.033957,0,0,0,0,0,0
"22",2,22,"",0,0,5.74314197167132e-05,0.3224366,0.0075297,0,0,0,0,0,0
"23",2,23,"",0,0,2.76538688075693e-05,0.239447,0.00606315,0,0,0,0,0,0
"24",1,24,"",0,0,1.36922884827467e-05,0.3481893,0.00353798,0,0,0,0,0,0
"25",1,25,"26_33",0,0,0.00194448359747059,0.7012966,0.0297082,0,0,0,0,0,0
"26",1,26,"27_32",0,0,0.00100150159606062,0.5073963,0.02506555,0,0,0,0,0,0
"27",1,27,"28_31",0,0,0.000822988829945074,0.2646985,0.0314591,0,0,0,0,0,0
"28",1,28,"29_30",0,0,0.000318388621386574,0.5922653,0.0130811428571429,0,0,0,0,0,0
"29",1,29,"",0,0,0.000390214558609493,0.5287769,0.0153264142857143,0,0,0,0,0,0
"30",2,30,"",0,0,0.000390761324556256,0.4154029,0.0173039833333333,0,0,0,0,0,0
"31",2,31,"",0,0,1.41285936627488e-05,0.2661704,0.0041105,0,0,0,0,0,0
"32",2,32,"",0,0,0.00116305373090816,0.8692826,0.0206369,0,0,0,0,0,0
"33",2,33,"",0,0,2.50739793978393e-05,0.4078054,0.00442395,0,0,0,0,0,0
"34",1,34,"",0,0,3.25189395439431e-06,0.2389303,0.00208141,0,0,0,0,0,0
"35",1,35,"36_37",0,0,0.00104415188748111,0.7459741,0.0211079,0,0,0,0,0,0
"36",1,36,"",0,0,0.000457877318593396,0.3928845,0.0192604833333333,0,0,0,0,0,0
"37",2,37,"",0,0,1.91112943914458e-05,0.1097454,0.00744521,0,0,0,0,0,0
"38",1,38,"39_68",0,0,0.00216946972265021,0.7657316,0.03003057,0,0,0,0,0,0
"39",1,39,"40_65",0,0,0.000184610294239349,0.0693146,0.0291166,0,0,0,0,0,0
