"BRANCH_ORDER","BRANCH_ID","CHILD_IDS","TIPS","V_TOT","VOLUME","LENGTH","RADIUS","BETA","GAMMA","D_BETA","D_GAMMA","THETA","WBE_THETA"
"1",1,0,"2_1249",0,0,6.37023633010871,14.72239,0.371119416666667,0,0,0,0,0,0
"2",2,0,"3_984_1053",0,0,0.637262884650239,2.30386,0.2967265,0,0,0,0,0,0
"3",3,0,"4_972",0,0,0.3115309548998,2.15782,0.214372,0,0,0,0,0,0
"4",4,0,"5_971",0,0,0.203171540000233,1.706911,0.1946485,0,0,0,0,0,0
"5",5,0,"6_964",0,0,0.184694802281701,3.095769,0.137806,0,0,0,0,0,0
"6",6,0,"7_924_953",0,0,0.0931522987370379,0.88145,0.18341,0,0,0,0,0,0
"7",7,0,"8_916",0,0,0.238694439944974,2.38028,0.178662,0,0,0,0,0,0
"8",8,0,"9_906",0,0,0.149345237509417,1.43155,0.182229,0,0,0,0,0,0
"9",9,0,"10_843",0,0,0.190868716846426,1.938,0.177058,0,0,0,0,0,0
"10",10,0,"11_756_757_835_838",0,0,0.248949627921535,1.84959,0.206987,0,0,0,0,0,0
"11",11,0,"12_643_646_754_755",0,0,0.153745814877504,3.78618,0.113691,0,0,0,0,0,0
"12",12,0,"13_642",0,0,0.0426557952465469,1.739366,0.08835245,0,0,0,0,0,0
"13",13,0,"14_641",0,0,0.0182248850553352,0.771131,0.0867348,0,0,0,0,0,0
"14",14,0,"15_597_602",0,0,0.0152990635595958,0.721163,0.0821752,0,0,0,0,0,0
"15",15,0,"16_574",0,0,0.0216697966040181,0.844816,0.090359,0,0,0,0,0,0
"16",16,0,"17_476_487",0,0,0.122778591636606,8.1513,0.0692425333333333,0,0,0,0,0,0
"17",17,0,"18_427_432_439_475",0,0,0.0354187247138159,1.5035,0.0865944,0,0,0,0,0,0
"18",18,0,"19_389",0,0,0.0324502224052278,1.65832,0.0789223,0,0,0,0,0,0
"19",19,0,"20_386_387_388",0,0,0.0954398056278587,2.4553,0.111234,0,0,0,0,0,0
"20",20,0,"21_301_378_379",0,0,0.0468328205644983,3.51381,0.0651345,0,0,0,0,0,0
"21",21,0,"22_279_282",0,0,0.0708119956087074,2.40842,0.0967414,0,0,0,0,0,0
"22",22,0,"23_253_263_270_274",0,0,0.0143090934308896,1.31977,0.0587465,0,0,0,0,0,0
"23",23,0,"24_148_156_241_245_246",0,0,0.0113336736028627,1.2936,0.0528093,0,0,0,0,0,0
"24",24,0,"25_136_137_147",0,0,0.0142413686155555,1.53827,0.0542856,0,0,0,0,0,0
"25",25,0,"26_124_125_133_134_135",0,0,0.0127016443141299,1.71967,0.0484878,0,0,0,0,0,0
"26",26,0,"27_108_121",0,0,0.00909889202856185,1.2218,0.0486877,0,0,0,0,0,0
"27",27,0,"28_82_86_106_107",0,0,0.00491770385929171,0.852592,0.0428485,0,0,0,0,0,0
"28",28,0,"29_70_79",0,0,0.00610499428455614,1.13116,0.0414482,0,0,0,0,0,0
"29",29,0,"30_63_69",0,0,0.00353787840451178,0.72563,0.0393948,0,0,0,0,0,0
"30",30,0,"31_60",0,0,0.00315703266768902,0.749904,0.0366068,0,0,0,0,0,0
"31",31,0,"32_58_59",0,0,0.00375965783527608,1.05754,0.0336396,0,0,0,0,0,0
"32",32,0,"33_51_52_55",0,0,0.00260392851912514,0.620226,0.0365565,0,0,0,0,0,0
"33",33,0,"34_37",0,0,0.00334749265988742,1.25304,0.029161,0,0,0,0,0,0
"34",34,0,"35_36",0,0,0.000927031297821575,0.371718,0.0281751,0,0,0,0,0,0
"35",35,0,"",0,0,0.00463883820021808,2.509778,0.0242556,0,0,0,0,0,0
"36",35,0,"",0,0,0.00170563968619984,1.21591,0.0211309,0,0,0,0,0,0
"37",34,0,"38_43_46_50",0,0,0.00429290979469036,1.650194,0.0287762,0,0,0,0,0,0
"38",35,0,"39_42",0,0,0.00266779110505703,1.10955,0.0276648,0,0,0,0,0,0
"39",36,0,"40_41",0,0,0.00219763587529347,1.18667,0.0242794,0,0,0,0,0,0
"40",37,0,"",0,0,0.00186295606676253,1.477864,0.0200313,0,0,0,0,0,0
"41",37,0,"",0,0,0.00143411834563006,0.812729,0.0236998,0,0,0,0,0,0
"42",36,0,"",0,0,0.0013590036062741,0.849376,0.0225676,0,0,0,0,0,0
