"BRANCH_ORDER","BRANCH_ID","CHILD_IDS","TIPS","V_TOT","VOLUME","LENGTH","RADIUS","BETA","GAMMA","D_BETA","D_GAMMA","THETA","WBE_THETA"
"1",0,1,"2_1274",0,0,0.280447137932791,6.043523,0.121536151515152,0,0,0,0,0,0
"2",0,2,"3_1271_1272_1273",0,0,0.0900963221736117,2.534245,0.10637860625,0,0,0,0,0,0
"3",0,3,"4_1270",0,0,0.0051284010476404,0.15797,0.101655,0,0,0,0,0,0
"4",0,4,"5_1269",0,0,0.00999535056886666,0.298815,0.1031865,0,0,0,0,0,0
"5",0,5,"6_1266_1267_1268",0,0,0.0044448594733659,0.165478,0.0924664,0,0,0,0,0,0
"6",0,6,"7_1263",0,0,0.00405340177543794,0.151652,0.0922382,0,0,0,0,0,0
"7",0,7,"8_1239_1261_1262",0,0,0.0127579343238368,0.450871,0.094905,0,0,0,0,0,0
"8",0,8,"9_1214",0,0,0.0254489828743793,0.970818,0.0913463857142857,0,0,0,0,0,0
"9",0,9,"10_1169_1192",0,0,0.00395842992031905,0.163241,0.0878561,0,0,0,0,0,0
"10",0,10,"11_1165_1168",0,0,0.00970204758860277,0.397412,0.0881528333333333,0,0,0,0,0,0
"11",0,11,"12_1046",0,0,0.00647428749607991,0.268157,0.08766505,0,0,0,0,0,0
"12",0,12,"13_1043",0,0,0.00648164163416338,0.258602,0.0893206,0,0,0,0,0,0
"13",0,13,"14_734_974",0,0,0.00385841645929172,0.161858,0.0871089,0,0,0,0,0,0
"14",0,14,"15_646_732_733",0,0,0.00502686609088605,0.251401,0.0797793,0,0,0,0,0,0
"15",0,15,"16_645",0,0,0.0172978796459165,0.9437568,0.076382075,0,0,0,0,0,0
"16",0,16,"17_390",0,0,0.0025838126374407,0.139898,0.0766743,0,0,0,0,0,0
"17",0,17,"18_302_389",0,0,0.00235447582241303,0.184999,0.0636484,0,0,0,0,0,0
"18",0,18,"19_299",0,0,0.00626098138173129,0.5134347,0.06230224,0,0,0,0,0,0
"19",0,19,"20_260_298",0,0,0.00363429357442161,0.3093177,0.0611551,0,0,0,0,0,0
"20",0,20,"21_224",0,0,0.00556037704028647,0.6748046,0.0512139375,0,0,0,0,0,0
"21",0,21,"22_105_177_221_222_223",0,0,0.00165038760936483,0.18496,0.0532941,0,0,0,0,0,0
"22",0,22,"23_104",0,0,0.0054963310164604,0.5853132,0.0546723,0,0,0,0,0,0
"23",0,23,"24_51_68",0,0,0.00157645625859609,0.138583,0.0601743,0,0,0,0,0,0
"24",0,24,"25_46",0,0,0.00240056324520062,0.4710352,0.0402768,0,0,0,0,0,0
"25",0,25,"26_45",0,0,0.000952888348690555,0.2694674,0.0335500333333333,0,0,0,0,0,0
"26",0,26,"27_42",0,0,0.00116988807571694,0.5406328,0.0262449666666667,0,0,0,0,0,0
"27",0,27,"28_38_41",0,0,0.000134552932993681,0.114171,0.0193684,0,0,0,0,0,0
"28",0,28,"29_37",0,0,0.000191430160664694,0.255878,0.0154317,0,0,0,0,0,0
"29",0,29,"30_36",0,0,4.38400235307467e-05,0.0832394,0.0129478,0,0,0,0,0,0
"30",0,30,"31_34_35",0,0,9.69949915733195e-05,0.3365598,0.0095778625,0,0,0,0,0,0
"31",0,31,"32_33",0,0,1.23155239130673e-05,0.124954,0.00560114,0,0,0,0,0,0
"32",0,32,"",0,0,5.22226446285964e-06,0.3552671,0.002163102,0,0,0,0,0,0
"33",1,33,"",0,0,4.96483285629059e-06,0.43788,0.00189976475,0,0,0,0,0,0
"34",1,34,"",0,0,7.83152722942489e-06,0.5431501,0.00214233983333333,0,0,0,0,0,0
"35",1,35,"",0,0,2.78665617826569e-06,0.303178,0.00171047966666667,0,0,0,0,0,0
"36",1,36,"",0,0,1.01360389756287e-05,0.3928102,0.0028659448,0,0,0,0,0,0
"37",1,37,"",0,0,1.00155991007229e-05,0.4301708,0.0027223444,0,0,0,0,0,0
"38",1,38,"39_40",0,0,5.43096457201503e-05,0.169924,0.0100864,0,0,0,0,0,0
"39",1,39,"",0,0,2.47065091108635e-05,0.442551,0.0042155,0,0,0,0,0,0
"40",2,40,"",0,0,1.31042861791175e-05,0.2915481,0.00378248,0,0,0,0,0,0
"41",1,41,"",0,0,1.0755735399369e-05,0.3080064,0.00333399733333333,0,0,0,0,0,0
"42",1,42,"43_44",0,0,0.000117105876309542,0.312246,0.01092612,0,0,0,0,0,0
"43",1,43,"",0,0,2.89145421555125e-05,0.6960879,0.003636228625,0,0,0,0,0,0
"44",2,44,"",0,0,1.11585242073919e-05,0.3889534,0.003021897,0,0,0,0,0,0
"45",1,45,"",0,0,8.78812644943626e-06,0.1620778,0.00415443,0,0,0,0,0,0
"46",1,46,"47_50",0,0,0.000378703394019344,0.29983,0.02005105,0,0,0,0,0,0
"47",1,47,"48_49",0,0,7.27635536251823e-05,0.120394,0.0138701,0,0,0,0,0,0
"48",1,48,"",0,0,6.32639771164452e-05,0.8353618,0.00490982488888889,0,0,0,0,0,0
"49",2,49,"",0,0,1.0068925166313e-05,0.2004166,0.003998985,0,0,0,0,0,0
"50",2,50,"",0,0,5.36567572010537e-05,0.7474096,0.00478033066666667,0,0,0,0,0,0
"51",1,51,"52_67",0,0,0.000586293190032357,0.229157,0.0285375,0,0,0,0,0,0
"52",1,52,"53_62",0,0,0.000526936093248186,0.2579521,0.0254996666666667,0,0,0,0,0,0
"53",1,53,"54_61",0,0,0.000234229390214285,0.1848048,0.0200858,0,0,0,0,0,0
"54",1,54,"55_60",0,0,0.000149968603221914,0.1576919,0.01739885,0,0,0,0,0,0
"55",1,55,"56_59",0,0,0.000121377949978062,0.1822098,0.0145616,0,0,0,0,0,0
"56",1,56,"57_58",0,0,9.63991156119581e-05,0.3855077,0.0089216475,0,0,0,0,0,0
"57",1,57,"",0,0,7.3032868337198e-06,0.3171546,0.002707377,0,0,0,0,0,0
"58",2,58,"",0,0,5.26789385754672e-06,0.3577601,0.00216494875,0,0,0,0,0,0
"59",2,59,"",0,0,1.18670770558075e-05,0.128272,0.00542664,0,0,0,0,0,0
"60",2,60,"",0,0,8.44505618234368e-06,0.1697897,0.00397897,0,0,0,0,0,0
"61",2,61,"",0,0,1.67575675119861e-05,0.2840986,0.004333073,0,0,0,0,0,0
"62",2,62,"63_66",0,0,0.000236942941404978,0.64182,0.0108402757142857,0,0,0,0,0,0
"63",2,63,"64_65",0,0,1.83815918048907e-06,0.207782,0.00167808,0,0,0,0,0,0
"64",2,64,"",0,0,1.54516267136068e-07,0.335815,0.000382703225,0,0,0,0,0,0
"65",3,65,"",0,0,7.96955612258869e-08,0.1698208,0.0003864975,0,0,0,0,0,0
"66",3,66,"",0,0,9.47314322306773e-07,0.3102644,0.000985839333333333,0,0,0,0,0,0
"67",2,67,"",0,0,1.07381625148502e-05,0.1573,0.0046615,0,0,0,0,0,0
"68",1,68,"69_103",0,0,0.000288903985457535,0.120492,0.0276263,0,0,0,0,0,0
"69",1,69,"70_98",0,0,0.00044407898389426,0.1852102,0.0276263,0,0,0,0,0,0
"70",1,70,"71_97",0,0,0.000198071097363027,0.0826087,0.0276263,0,0,0,0,0,0
"71",1,71,"72_96",0,0,0.00019480672216176,0.0874482,0.0266288,0,0,0,0,0,0
"72",1,72,"73_95",0,0,0.000244468659743733,0.4123027,0.01373816,0,0,0,0,0,0
"73",1,73,"74_93_94",0,0,0.000170421149213175,0.3665983,0.012164425,0,0,0,0,0,0
"74",1,74,"75_90",0,0,2.71071453008944e-05,0.0559143,0.0124224,0,0,0,0,0,0
"75",1,75,"76_88_89",0,0,7.61052572776244e-05,0.186715,0.0113905,0,0,0,0,0,0
"76",1,76,"77_87",0,0,7.46245236534477e-05,0.1830822,0.0113905,0,0,0,0,0,0
"77",1,77,"78_84",0,0,6.0442853472124e-05,0.3455865,0.00746138,0,0,0,0,0,0
"78",1,78,"79_82_83",0,0,6.62591364609544e-05,0.8142773,0.00508934375,0,0,0,0,0,0
"79",1,79,"80_81",0,0,4.83048039295e-06,0.4531147,0.0018421125,0,0,0,0,0,0
"80",1,80,"",0,0,7.62717400767387e-07,0.6908866,0.0005927936,0,0,0,0,0,0
"81",2,81,"",0,0,5.84191111815799e-08,0.2678178,0.000263501333333333,0,0,0,0,0,0
"82",2,82,"",0,0,2.36908284683563e-06,0.6316559,0.0010926345,0,0,0,0,0,0
"83",2,83,"",0,0,8.81946976549593e-07,0.3337976,0.000917074666666667,0,0,0,0,0,0
"84",2,84,"85_86",0,0,7.89547881598243e-06,0.3523894,0.00267056333333333,0,0,0,0,0,0
"85",2,85,"",0,0,9.36467768786202e-07,0.49782,0.000773811733333333,0,0,0,0,0,0
"86",3,86,"",0,0,9.99377180637486e-08,0.161156,0.00044429,0,0,0,0,0,0
"87",2,87,"",0,0,5.05530986489933e-06,0.5128689,0.00177131488333333,0,0,0,0,0,0
"88",2,88,"",0,0,6.75039005590535e-06,0.6574307,0.0018078588,0,0,0,0,0,0
"89",2,89,"",0,0,7.39156205344891e-07,0.2495632,0.0009709635,0,0,0,0,0,0
"90",2,90,"91_92",0,0,4.7580688587932e-05,1.2962393,0.00341820285714286,0,0,0,0,0,0
"91",2,91,"",0,0,1.42379865172505e-06,0.284791,0.001261497,0,0,0,0,0,0
"92",3,92,"",0,0,1.04229475987068e-06,0.3528762,0.00096963695,0,0,0,0,0,0
"93",2,93,"",0,0,6.27214568927279e-07,0.2447336,0.000903205,0,0,0,0,0,0
"94",2,94,"",0,0,1.84241588051161e-06,0.3180055,0.00135800566666667,0,0,0,0,0,0
"95",2,95,"",0,0,2.07263038906197e-06,0.2653028,0.00157693966666667,0,0,0,0,0,0
"96",2,96,"",0,0,1.02113444614035e-05,0.2722061,0.00345555333333333,0,0,0,0,0,0
"97",2,97,"",0,0,9.91793100453982e-06,0.3468615,0.00301687666666667,0,0,0,0,0,0
"98",2,98,"99_102",0,0,0.000390541625236613,2.1749385,0.007560234,0,0,0,0,0,0
"99",2,99,"100_101",0,0,6.3309582212454e-06,0.5079193,0.0019918766,0,0,0,0,0,0
"100",2,100,"",0,0,2.45295239385304e-08,0.0852851,0.000302575,0,0,0,0,0,0
"101",3,101,"",0,0,2.35425281326406e-08,0.1492033,0.0002241106,0,0,0,0,0,0
"102",3,102,"",0,0,1.63098068854508e-06,0.337665,0.0012399565,0,0,0,0,0,0
"103",2,103,"",0,0,5.07350632488693e-06,0.1579564,0.0031975,0,0,0,0,0,0
"104",1,104,"",0,0,2.91571859871497e-05,0.4597755,0.0044928814,0,0,0,0,0,0
"105",1,105,"106_174",0,0,0.00212703130595681,0.4939902,0.0370214,0,0,0,0,0,0
"106",1,106,"107_147",0,0,0.00108573289711208,0.9706578,0.0188692,0,0,0,0,0,0
"107",1,107,"108_137_146",0,0,0.000396070594098564,0.3230819,0.019754,0,0,0,0,0,0
"108",1,108,"109_136",0,0,0.00010848777119554,0.527416,0.008091682,0,0,0,0,0,0
"109",1,109,"110_128",0,0,4.01252130363785e-05,0.2766248,0.00679498,0,0,0,0,0,0
"110",1,110,"111_127",0,0,3.26722419647681e-05,0.4245737,0.004949234,0,0,0,0,0,0
"111",1,111,"112_126",0,0,3.86604662849131e-06,0.0737682,0.00408436,0,0,0,0,0,0
"112",1,112,"113_122",0,0,1.11928206246797e-05,0.2651717,0.00366548333333333,0,0,0,0,0,0
"113",1,113,"114_121",0,0,4.44948069248809e-06,0.2404189,0.00242714333333333,0,0,0,0,0,0
"114",1,114,"115_118",0,0,1.77164313803916e-06,0.2242485,0.0015858,0,0,0,0,0,0
"115",1,115,"116_117",0,0,3.54864520453249e-07,0.168555,0.000818626,0,0,0,0,0,0
