"BRANCH_ORDER","BRANCH_ID","CHILD_IDS","TIPS","V_TOT","VOLUME","LENGTH","RADIUS","BETA","GAMMA","D_BETA","D_GAMMA","THETA","WBE_THETA"
"1",0,1,"2_908",0,0,0.475736856918872,2.304901,0.2563199,0,0,0,0,0,0
"2",0,2,"3_871",0,0,0.469468298710226,3.115099,0.219024285714286,0,0,0,0,0,0
"3",0,3,"4_864",0,0,0.168416946155135,1.005614,0.2308885,0,0,0,0,0,0
"4",0,4,"5_863",0,0,0.12296161844044,0.812749,0.219448,0,0,0,0,0,0
"5",0,5,"6_856",0,0,0.160495937301491,1.192264,0.20700025,0,0,0,0,0,0
"6",0,6,"7_504_847",0,0,0.0756567881236702,0.59341,0.201452,0,0,0,0,0,0
"7",0,7,"8_454_499",0,0,0.0534273293199041,0.5903738,0.169724,0,0,0,0,0,0
"8",0,8,"9_261",0,0,0.125024910227085,2.894936,0.117247571428571,0,0,0,0,0,0
"9",0,9,"10_254",0,0,0.0193402541771044,0.399307,0.124166,0,0,0,0,0,0
"10",0,10,"11_231",0,0,0.0255600987316262,1.43036,0.0754195,0,0,0,0,0,0
"11",0,11,"12_160",0,0,0.00355707025722377,0.199056,0.0754195,0,0,0,0,0,0
"12",0,12,"13_159",0,0,0.00937994861061451,0.6113612,0.069883775,0,0,0,0,0,0
"13",0,13,"14_154",0,0,0.00433344109230326,0.259394,0.0729225,0,0,0,0,0,0
"14",0,14,"15_149",0,0,0.0114111408389593,0.799694,0.067395,0,0,0,0,0,0
"15",0,15,"16_148",0,0,0.00205128718171236,0.1826264,0.05979385,0,0,0,0,0,0
"16",0,16,"17_142_145",0,0,0.00904272672152608,0.759385,0.0615664,0,0,0,0,0,0
"17",0,17,"18_141",0,0,0.00200961976845382,0.4459143,0.03787532,0,0,0,0,0,0
"18",0,18,"19_88",0,0,0.00187829273972704,0.6565793,0.0301761,0,0,0,0,0,0
"19",0,19,"20_85",0,0,0.000446554290660295,0.1560983,0.0301761,0,0,0,0,0,0
"20",0,20,"21_54",0,0,0.000190504647173196,0.1432456,0.020574875,0,0,0,0,0,0
"21",0,21,"22_51",0,0,9.51067952015666e-05,0.1204186,0.01585565,0,0,0,0,0,0
"22",0,22,"23_46",0,0,0.000305601141566905,0.555752,0.0132300666666667,0,0,0,0,0,0
"23",0,23,"24_45",0,0,0.000102831296604008,0.4117761,0.008915735,0,0,0,0,0,0
"24",0,24,"25_37_42",0,0,5.52691806796502e-05,0.3367885,0.0072274975,0,0,0,0,0,0
"25",0,25,"26_36",0,0,1.83114571349866e-05,0.2791912,0.0045691525,0,0,0,0,0,0
"26",0,26,"27_35",0,0,1.20334233518539e-05,0.3143752,0.00349056333333333,0,0,0,0,0,0
"27",0,27,"28_34",0,0,6.32806708545161e-06,0.283722,0.00266449,0,0,0,0,0,0
"28",0,28,"29_33",0,0,2.24020515782003e-06,0.5546882,0.001133821,0,0,0,0,0,0
"29",0,29,"30_31_32",0,0,1.99368704118083e-07,0.1751654,0.000601907,0,0,0,0,0,0
"30",0,30,"",0,0,2.36439787660449e-09,0.0753335,9.995195e-05,0,0,0,0,0,0
"31",1,31,"",0,0,2.04935360431329e-09,0.0695902,9.681875e-05,0,0,0,0,0,0
"32",1,32,"",0,0,1.68611945512469e-09,0.062454,9.2702e-05,0,0,0,0,0,0
"33",1,33,"",0,0,3.1383746762961e-08,0.129034,0.000278243725,0,0,0,0,0,0
"34",1,34,"",0,0,3.74003554004763e-07,0.6191603,0.0004384917,0,0,0,0,0,0
"35",1,35,"",0,0,2.10214046052827e-08,0.0604572,0.000332684,0,0,0,0,0,0
"36",1,36,"",0,0,5.77300925176726e-08,0.0809094,0.00047657,0,0,0,0,0,0
"37",1,37,"38_41",0,0,9.64102979431121e-06,0.2272453,0.0036748475,0,0,0,0,0,0
"38",1,38,"39_40",0,0,2.89390043481865e-06,0.5027787,0.00135356283333333,0,0,0,0,0,0
"39",1,39,"",0,0,5.30701225346105e-08,0.1208544,0.0003738685,0,0,0,0,0,0
"40",2,40,"",0,0,4.18367515716724e-08,0.1059204,0.00035458,0,0,0,0,0,0
"41",2,41,"",0,0,2.03640533912053e-06,0.6623632,0.00098925688,0,0,0,0,0,0
"42",1,42,"43_44",0,0,1.94238102606908e-06,0.0997689,0.0024894,0,0,0,0,0,0
"43",1,43,"",0,0,1.82513786119298e-06,0.3545629,0.001280048,0,0,0,0,0,0
"44",2,44,"",0,0,9.90686760001046e-08,0.1040628,0.000550485,0,0,0,0,0,0
"45",1,45,"",0,0,2.20299246170708e-07,0.1158201,0.0007781075,0,0,0,0,0,0
"46",1,46,"47_50",0,0,4.07313207436475e-05,0.3680257,0.00593540333333333,0,0,0,0,0,0
"47",1,47,"48_49",0,0,1.61812952485782e-05,1.4714264,0.00187095108333333,0,0,0,0,0,0
"48",1,48,"",0,0,3.3899784489881e-09,0.1319801,9.0421e-05,0,0,0,0,0,0
"49",2,49,"",0,0,1.53060763931984e-09,0.084918,7.574555e-05,0,0,0,0,0,0
"50",2,50,"",0,0,1.88992077328584e-07,0.1049818,0.0007569895,0,0,0,0,0,0
"51",1,51,"52_53",0,0,3.9855877566946e-05,0.4066832,0.00558525666666667,0,0,0,0,0,0
"52",1,52,"",0,0,7.01347033076522e-06,0.7133522,0.0017690477,0,0,0,0,0,0
"53",2,53,"",0,0,5.67852048846148e-07,0.1897834,0.0009759185,0,0,0,0,0,0
"54",1,54,"55_84",0,0,0.00037510691178406,0.8271259,0.0120148066666667,0,0,0,0,0,0
"55",1,55,"56_73",0,0,0.000105875800781764,0.4929424,0.00826847333333333,0,0,0,0,0,0
"56",1,56,"57_72",0,0,1.86537302571703e-05,0.1843008,0.005676025,0,0,0,0,0,0
"57",1,57,"58_65",0,0,3.00832777502433e-05,0.5073395,0.004344485,0,0,0,0,0,0
"58",1,58,"59_64",0,0,3.79795659898134e-06,0.1634315,0.00271977,0,0,0,0,0,0
"59",1,59,"60_63",0,0,5.22115609812812e-06,0.6948465,0.00154655,0,0,0,0,0,0
"60",1,60,"61_62",0,0,6.49034840246357e-07,0.1545618,0.0011561335,0,0,0,0,0,0
"61",1,61,"",0,0,9.54450887888146e-08,0.2344568,0.000359973425,0,0,0,0,0,0
"62",2,62,"",0,0,3.35875044409206e-08,0.1421273,0.000274268025,0,0,0,0,0,0
"63",2,63,"",0,0,6.02952665043439e-08,0.1340318,0.000378410125,0,0,0,0,0,0
"64",2,64,"",0,0,9.48831613515909e-08,0.1465013,0.000454045,0,0,0,0,0,0
"65",2,65,"66_71",0,0,2.46649323486455e-06,0.287487,0.001652555,0,0,0,0,0,0
"66",2,66,"67_70",0,0,2.07378754661099e-07,0.0793905,0.000911849,0,0,0,0,0,0
"67",2,67,"68_69",0,0,6.37719706119383e-08,0.1116084,0.000426473,0,0,0,0,0,0
"68",2,68,"",0,0,6.74224799497177e-09,0.108295,0.00014077425,0,0,0,0,0,0
"69",3,69,"",0,0,1.87358173497633e-09,0.053235,0.00010584315,0,0,0,0,0,0
"70",3,70,"",0,0,3.22314405815933e-08,0.2041842,0.0002241578,0,0,0,0,0,0
"71",3,71,"",0,0,2.03930057225929e-08,0.1110176,0.0002418075,0,0,0,0,0,0
"72",2,72,"",0,0,3.30434621291189e-07,0.1787413,0.000767106,0,0,0,0,0,0
"73",2,73,"74_81",0,0,1.44107223487663e-05,0.2710973,0.00411344166666667,0,0,0,0,0,0
"74",2,74,"75_80",0,0,3.76722723580979e-06,0.1831024,0.00255911,0,0,0,0,0,0
"75",2,75,"76_79",0,0,7.39956355648589e-07,0.0638382,0.001920825,0,0,0,0,0,0
"76",2,76,"77_78",0,0,9.18942114784455e-07,0.2528909,0.0010754805,0,0,0,0,0,0
"77",2,77,"",0,0,2.50065929595446e-08,0.1608772,0.000222436,0,0,0,0,0,0
"78",3,78,"",0,0,4.32902857025882e-08,0.242369,0.00023844145,0,0,0,0,0,0
"79",3,79,"",0,0,3.37514940316071e-08,0.0875756,0.0003502515,0,0,0,0,0,0
"80",3,80,"",0,0,4.15272678833958e-07,0.245796,0.00073333825,0,0,0,0,0,0
"81",3,81,"82_83",0,0,9.54852022989306e-07,0.0760288,0.00199942,0,0,0,0,0,0
"82",3,82,"",0,0,1.55545585361951e-07,0.1769196,0.0005290125,0,0,0,0,0,0
"83",4,83,"",0,0,2.48062287141358e-07,0.36902,0.000462573216666667,0,0,0,0,0,0
"84",2,84,"",0,0,1.7286519087423e-06,0.316707,0.001318105,0,0,0,0,0,0
"85",1,85,"86_87",0,0,1.2271435815154e-05,0.1927046,0.00450222,0,0,0,0,0,0
"86",1,86,"",0,0,1.39676925961507e-06,0.1165608,0.00195304,0,0,0,0,0,0
"87",2,87,"",0,0,2.28632953613105e-06,0.2761863,0.0016232799,0,0,0,0,0,0
"88",1,88,"89_130",0,0,0.00188262025059315,0.7507586,0.02825246,0,0,0,0,0,0
"89",1,89,"90_119",0,0,0.000965384480003456,0.5498955,0.0236393285714286,0,0,0,0,0,0
"90",1,90,"91_116",0,0,0.000404234775604769,0.2473182,0.0228094,0,0,0,0,0,0
"91",1,91,"92_115",0,0,0.000282902027105478,0.2073964,0.02083735,0,0,0,0,0,0
"92",1,92,"93_112",0,0,0.000444582878081246,0.4504591,0.01772449,0,0,0,0,0,0
"93",1,93,"94_111",0,0,0.000173370775923121,0.3024985,0.0135067666666667,0,0,0,0,0,0
"94",1,94,"95_108",0,0,0.000116059264650938,0.2860039,0.01136525,0,0,0,0,0,0
"95",1,95,"96_107",0,0,3.61198879979209e-05,0.1232739,0.009657455,0,0,0,0,0,0
"96",1,96,"97_104",0,0,6.60660883523698e-05,0.3115959,0.00821520666666667,0,0,0,0,0,0
"97",1,97,"98_103",0,0,5.18018135501226e-05,0.569254,0.00538201,0,0,0,0,0,0
"98",1,98,"99_102",0,0,5.12060932892158e-06,0.1367206,0.00345278,0,0,0,0,0,0
"99",1,99,"100_101",0,0,4.10329299172931e-06,0.1718976,0.00275649,0,0,0,0,0,0
"100",1,100,"",0,0,1.85579696587718e-07,0.1736256,0.0005832885,0,0,0,0,0,0
"101",2,101,"",0,0,1.26943582260353e-06,0.7150779,0.000751715941666667,0,0,0,0,0,0
"102",2,102,"",0,0,2.83962691710036e-07,0.2265142,0.0006316958,0,0,0,0,0,0
"103",2,103,"",0,0,9.09677568608386e-07,0.3583332,0.000898928775,0,0,0,0,0,0
"104",2,104,"105_106",0,0,2.73079568328963e-06,0.1259096,0.002627485,0,0,0,0,0,0
"105",2,105,"",0,0,1.01052021793946e-08,0.0226863,0.000376544,0,0,0,0,0,0
"106",3,106,"",0,0,1.82536874735581e-07,0.1618427,0.000599175175,0,0,0,0,0,0
"107",2,107,"",0,0,7.63829646407052e-07,0.1508784,0.001269433,0,0,0,0,0,0
"108",2,108,"109_110",0,0,5.77719000547171e-06,0.200373,0.00302945,0,0,0,0,0,0
"109",2,109,"",0,0,3.95321264015408e-07,0.1570624,0.0008950845,0,0,0,0,0,0
"110",3,110,"",0,0,3.44242140544752e-07,0.1454614,0.000867927,0,0,0,0,0,0
"111",2,111,"",0,0,6.2375378235593e-07,0.1203846,0.00128424,0,0,0,0,0,0
"112",2,112,"113_114",0,0,3.22172238802742e-05,0.2308936,0.0066644325,0,0,0,0,0,0
"113",2,113,"",0,0,5.96295526240725e-07,0.1261992,0.001226387,0,0,0,0,0,0
"114",3,114,"",0,0,3.81446175515731e-06,0.5460656,0.001491142975,0,0,0,0,0,0
"115",2,115,"",0,0,3.85357681295856e-06,0.213648,0.002396115,0,0,0,0,0,0
"116",2,116,"117_118",0,0,2.96861587516557e-05,0.2610193,0.0060168025,0,0,0,0,0,0
"117",2,117,"",0,0,4.68247578129492e-07,0.1160928,0.001133079,0,0,0,0,0,0
"118",3,118,"",0,0,7.1009427291936e-07,0.1923724,0.00108395608333333,0,0,0,0,0,0
"119",2,119,"120_125",0,0,0.00013184473566309,0.3042049,0.01174555,0,0,0,0,0,0
"120",2,120,"121_124",0,0,6.01703740090201e-05,0.5086126,0.00613653,0,0,0,0,0,0
"121",2,121,"122_123",0,0,8.79391132147046e-06,0.1395738,0.00447831,0,0,0,0,0,0
"122",2,122,"",0,0,1.60368315520494e-06,0.1780034,0.0016934415,0,0,0,0,0,0
"123",3,123,"",0,0,9.82859259755814e-07,0.2077737,0.00122708725,0,0,0,0,0,0
"124",3,124,"",0,0,3.26384995849963e-06,0.1936832,0.00231603,0,0,0,0,0,0
"125",3,125,"126_129",0,0,7.02507690924377e-06,0.0689998,0.00569281,0,0,0,0,0,0
"126",3,126,"127_128",0,0,4.69432575190285e-06,0.0689985,0.00465363,0,0,0,0,0,0
"127",3,127,"",0,0,6.34100602940113e-07,0.0922428,0.0014792375,0,0,0,0,0,0
"128",4,128,"",0,0,3.64190725274306e-07,0.067823,0.0013073775,0,0,0,0,0,0
