"BRANCH_ORDER","BRANCH_ID","CHILD_IDS","TIPS","V_TOT","VOLUME","LENGTH","RADIUS","BETA","GAMMA","D_BETA","D_GAMMA","THETA","WBE_THETA"
"1",1,0,"2_7418",0,0,6.79060984632236,10.9735,0.44382,0,0,0,0,0,0
"2",2,0,"3_4599",0,0,0.655917707747376,1.7171,0.3487,0,0,0,0,0,0
"3",3,0,"4_2080_3571_3572",0,0,0.68039540201384,2.6524,0.28575,0,0,0,0,0,0
"4",4,0,"5_2079",0,0,0.125949292187085,1.3349,0.1733,0,0,0,0,0,0
"5",5,0,"6_2077_2078",0,0,0.0770093554362506,1.1484,0.1461,0,0,0,0,0,0
"6",6,0,"7_2008_2009_2010",0,0,0.0547642047596814,1.2146,0.1198,0,0,0,0,0,0
"7",7,0,"8_1445_1842_1843_1844_1939_1940_1941_1942",0,0,0.0653568391211953,1.1638,0.1337,0,0,0,0,0,0
"8",8,0,"9_1418_1442_1443_1444",0,0,0.0147400888368604,0.944,0.0705,0,0,0,0,0,0
"9",9,0,"10_1392",0,0,0.0232265054838139,1.2373,0.0773,0,0,0,0,0,0
"10",10,0,"11_1110_1111_1112_1113_1114_1121",0,0,0.0291088940437434,0.955,0.0985,0,0,0,0,0,0
"11",11,0,"12_752",0,0,0.0253980452725621,1.0681,0.087,0,0,0,0,0,0
"12",12,0,"13_743",0,0,0.0298251288385005,1.8886,0.0709,0,0,0,0,0,0
"13",13,0,"14_268_591",0,0,0.00870995377252968,0.9066,0.0553,0,0,0,0,0,0
"14",14,0,"15_267",0,0,0.0049554269077563,0.7295,0.0465,0,0,0,0,0,0
"15",15,0,"16_141_224",0,0,0.00423546756955441,0.9848,0.037,0,0,0,0,0,0
"16",16,0,"17_68_69_88_115",0,0,0.00222228607625327,1.0627,0.0258,0,0,0,0,0,0
"17",17,0,"18_30_52_55_56_57",0,0,0.000606553438583812,0.8141,0.0154,0,0,0,0,0,0
"18",18,0,"19_22_27_28_29",0,0,0.000105219568897278,0.7461,0.0067,0,0,0,0,0,0
"19",19,0,"20_21",0,0,7.08612203988423e-05,0.5683,0.0063,0,0,0,0,0,0
"20",20,0,"",0,0,7.22569200590894e-05,0.8188,0.0053,0,0,0,0,0,0
"21",20,0,"",0,0,1.59424831595394e-05,0.2506,0.0045,0,0,0,0,0,0
"22",19,0,"23_26",0,0,0.00010621078222019,0.8518,0.0063,0,0,0,0,0,0
"23",20,0,"24_25",0,0,4.0197267051304e-05,0.387,0.00575,0,0,0,0,0,0
