"BRANCH_ORDER","BRANCH_ID","CHILD_IDS","TIPS","V_TOT","VOLUME","LENGTH","RADIUS","BETA","GAMMA","D_BETA","D_GAMMA","THETA","WBE_THETA"
"1",1,0,"2_11079",0,0,1.94132335224801,2.5017,0.497,0,0,0,0,0,0
"2",2,0,"3_11060_11061_11062_11078",0,0,1.14089753610202,2.1066,0.4152,0,0,0,0,0,0
"3",3,0,"4_9387_9388_9393_9394_9395",0,0,1.60098679487999,2.366,0.4641,0,0,0,0,0,0
"4",4,0,"5_7231_9377_9380_9381_9382_9383_9384",0,0,0.516210376479244,1.4434,0.3374,0,0,0,0,0,0
"5",5,0,"6_7186_7209_7210_7218_7223_7224_7227_7230",0,0,0.282400037148383,1.2267,0.2707,0,0,0,0,0,0
"6",6,0,"7_7185",0,0,0.189170580411166,1.408,0.2068,0,0,0,0,0,0
"7",7,0,"8_5259_5260_5276_5277_5486",0,0,0.260510553518029,1.111,0.2732,0,0,0,0,0,0
"8",8,0,"9_4609_4610",0,0,0.153487959678985,1.0789,0.2128,0,0,0,0,0,0
"9",9,0,"10_1651_4526_4608",0,0,0.283803109686765,2.6887,0.1833,0,0,0,0,0,0
"10",10,0,"11_797",0,0,0.0578534020566583,1.0964,0.1296,0,0,0,0,0,0
"11",11,0,"12_778",0,0,0.0633028446008288,1.134,0.1333,0,0,0,0,0,0
"12",12,0,"13_735_738_739_740",0,0,0.037626855212045,1.1977,0.1,0,0,0,0,0,0
"13",13,0,"14_732",0,0,0.0433292461172145,1.1194,0.111,0,0,0,0,0,0
"14",14,0,"15_205_347_383_548",0,0,0.0166776154163644,1.0865,0.0699,0,0,0,0,0,0
"15",15,0,"16_96_191_192_193_204",0,0,0.0150372303241512,1.1577,0.0643,0,0,0,0,0,0
"16",16,0,"17_93_94_95",0,0,0.00947170824050117,1.0897,0.0526,0,0,0,0,0,0
"17",17,0,"18_46_77_78_79_80_81_82_83_84_85",0,0,0.00396437586381274,0.907,0.0373,0,0,0,0,0,0
"18",18,0,"19_29_30_31_44_45",0,0,0.00106773746827254,0.6538,0.0228,0,0,0,0,0,0
"19",19,0,"20_21_22_23_24_25_26_27_28",0,0,0.000245016584106245,0.8289,0.0097,0,0,0,0,0,0
"20",20,0,"",0,0,4.25978852324144e-05,0.2848,0.0069,0,0,0,0,0,0
"21",20,0,"",0,0,4.85059486687921e-05,0.3243,0.0069,0,0,0,0,0,0
"22",20,0,"",0,0,2.34826825192734e-05,0.157,0.0069,0,0,0,0,0,0
"23",20,0,"",0,0,6.73558815814493e-05,0.8243,0.0051,0,0,0,0,0,0
"24",20,0,"",0,0,0.000109798445076807,1.0271,0.00583333333333333,0,0,0,0,0,0
"25",20,0,"",0,0,8.00804345275093e-05,0.5354,0.0069,0,0,0,0,0,0
"26",20,0,"",0,0,6.15787848596144e-05,0.7536,0.0051,0,0,0,0,0,0
"27",20,0,"",0,0,0.000111924148593454,0.7483,0.0069,0,0,0,0,0,0
"28",20,0,"",0,0,9.00418781949208e-05,0.602,0.0069,0,0,0,0,0,0
"29",19,0,"",0,0,0.0002992503536161,0.6506,0.0121,0,0,0,0,0,0
"30",19,0,"",0,0,0.000154083728243617,0.1846,0.0163,0,0,0,0,0,0
"31",19,0,"32_43",0,0,0.000407855296473701,0.2757,0.0217,0,0,0,0,0,0
"32",20,0,"33_41_42",0,0,0.000287436648911281,0.1943,0.0217,0,0,0,0,0,0
"33",21,0,"34_37_40",0,0,0.000258674607902244,0.1885,0.0209,0,0,0,0,0,0
"34",22,0,"35_36",0,0,0.000160954972571659,0.1599,0.0179,0,0,0,0,0,0
"35",23,0,"",0,0,0.000157661908028277,0.4224,0.0109,0,0,0,0,0,0
"36",23,0,"",0,0,0.000149483399087788,0.2927,0.01275,0,0,0,0,0,0
"37",22,0,"38_39",0,0,0.000286192319824464,0.4131,0.01485,0,0,0,0,0,0
"38",23,0,"",0,0,4.19717783829246e-05,0.2688,0.00705,0,0,0,0,0,0
"39",23,0,"",0,0,4.98102578279499e-05,0.319,0.00705,0,0,0,0,0,0
"40",22,0,"",0,0,0.000155393215532867,0.2243,0.01485,0,0,0,0,0,0
"41",21,0,"",0,0,8.5489286324861e-05,0.114,0.01545,0,0,0,0,0,0
"42",21,0,"",0,0,0.00021859760494471,0.2915,0.01545,0,0,0,0,0,0
"43",20,0,"",0,0,0.000213706551233922,0.1603,0.0206,0,0,0,0,0,0
"44",19,0,"",0,0,0.000118275537877143,0.1417,0.0163,0,0,0,0,0,0
"45",19,0,"",0,0,0.000259505043937923,0.3109,0.0163,0,0,0,0,0,0
"46",18,0,"47_57",0,0,0.0030589854800733,0.777,0.0354,0,0,0,0,0,0
"47",19,0,"48_49_50_56",0,0,0.000795059189125768,0.3228,0.028,0,0,0,0,0,0
"48",20,0,"",0,0,0.000427119394970659,0.9286,0.0121,0,0,0,0,0,0
"49",20,0,"",0,0,0.000257196262364059,0.2628,0.01765,0,0,0,0,0,0
"50",20,0,"51_55",0,0,0.000412938164050946,0.4828,0.0165,0,0,0,0,0,0
"51",21,0,"52_53_54",0,0,4.12923084406208e-06,0.2103,0.0025,0,0,0,0,0,0
"52",22,0,"",0,0,3.06437858934986e-06,0.2702,0.0019,0,0,0,0,0,0
"53",22,0,"",0,0,1.90758134244503e-06,0.1682,0.0019,0,0,0,0,0,0
"54",22,0,"",0,0,2.85343320903192e-06,0.2516,0.0019,0,0,0,0,0,0
"55",21,0,"",0,0,2.95724792366796e-05,0.2066,0.00675,0,0,0,0,0,0
"56",20,0,"",0,0,0.000362110415048333,0.37,0.01765,0,0,0,0,0,0
"57",19,0,"58_76",0,0,0.000135485179291915,0.0382,0.0336,0,0,0,0,0,0
"58",20,0,"59_71_75",0,0,0.00142188503607667,0.4009,0.0336,0,0,0,0,0,0
"59",21,0,"60_69_70",0,0,0.000411781794060642,0.2314,0.0238,0,0,0,0,0,0
"60",22,0,"61_68",0,0,0.000324792023394166,0.1628,0.0252,0,0,0,0,0,0
"61",23,0,"62_67",0,0,0.000282994091323913,0.1577,0.0239,0,0,0,0,0,0
"62",24,0,"63_66",0,0,0.000138927862185425,0.1128,0.0198,0,0,0,0,0,0
"63",25,0,"64_65",0,0,0.000160638428837476,0.2432,0.0145,0,0,0,0,0,0
"64",26,0,"",0,0,1.31128443732658e-05,0.0828,0.0071,0,0,0,0,0,0
"65",26,0,"",0,0,4.22972513088273e-05,0.1333,0.01005,0,0,0,0,0,0
"66",25,0,"",0,0,0.000147552648237723,0.4128,0.0106666666666667,0,0,0,0,0,0
"67",24,0,"",0,0,0.000239354563923311,0.4799,0.0126,0,0,0,0,0,0
"68",23,0,"",0,0,0.00022271443984956,0.2752,0.01605,0,0,0,0,0,0
"69",22,0,"",0,0,0.000262382163970165,0.2907,0.01695,0,0,0,0,0,0
"70",22,0,"",0,0,0.000145948386356986,0.1617,0.01695,0,0,0,0,0,0
"71",21,0,"72_73_74",0,0,0.00128583052933556,0.6133,0.0258333333333333,0,0,0,0,0,0
"72",22,0,"",0,0,0.000834980757772508,1.1039,0.0155166666666667,0,0,0,0,0,0
"73",22,0,"",0,0,8.27062931209097e-05,0.1147,0.01515,0,0,0,0,0,0
"74",22,0,"",0,0,0.000109529955754718,0.1519,0.01515,0,0,0,0,0,0
