"BRANCH_ORDER","BRANCH_ID","CHILD_IDS","TIPS","V_TOT","VOLUME","LENGTH","RADIUS","BETA","GAMMA","D_BETA","D_GAMMA","THETA","WBE_THETA"
"1",1,0,"2_5245",0,0,0.432190460369702,1.5034,0.3025,0,0,0,0,0,0
"2",2,0,"3_5138",0,0,1.12395670724015,6.1272,0.24164,0,0,0,0,0,0
"3",3,0,"4_5137",0,0,0.155155100402643,1.0734,0.2145,0,0,0,0,0,0
"4",4,0,"5_4909_5043",0,0,0.294535153488344,2.0939,0.2116,0,0,0,0,0,0
"5",5,0,"6_1589_4747",0,0,0.0415393719828276,0.6903,0.1384,0,0,0,0,0,0
"6",6,0,"7_1461",0,0,0.044057034282318,0.8147,0.1312,0,0,0,0,0,0
"7",7,0,"8_1380",0,0,0.0743678835860344,1.6115,0.1212,0,0,0,0,0,0
"8",8,0,"9_1377",0,0,0.0253553282958354,0.7156,0.1062,0,0,0,0,0,0
"9",9,0,"10_1168",0,0,0.0223425346547158,0.7543,0.0971,0,0,0,0,0,0
"10",10,0,"11_887_1001",0,0,0.0443092353212566,1.5497,0.0954,0,0,0,0,0,0
"11",11,0,"12_450_695",0,0,0.00933494605406106,0.6659,0.0668,0,0,0,0,0,0
"12",12,0,"13_228_319",0,0,0.0074382884816619,0.699,0.0582,0,0,0,0,0,0
"13",13,0,"14_149",0,0,0.0111391050557969,1.4618,0.04925,0,0,0,0,0,0
"14",14,0,"15_140",0,0,0.00286403592715816,0.5558,0.0405,0,0,0,0,0,0
"15",15,0,"16_109",0,0,0.002289860870294,0.5593,0.0361,0,0,0,0,0,0
"16",16,0,"17_65_71",0,0,0.00157258868394359,0.5525,0.0301,0,0,0,0,0,0
"17",17,0,"18_56",0,0,0.0010168371170637,0.6627,0.0221,0,0,0,0,0,0
"18",18,0,"19_24_39_40_41_53_54_55",0,0,0.000322137402734624,0.4945,0.0144,0,0,0,0,0,0
"19",19,0,"20_21_22_23",0,0,9.08501345864658e-05,0.6254,0.0068,0,0,0,0,0,0
"20",20,0,"",0,0,0.000112531585727173,1.4006,0.00505714285714286,0,0,0,0,0,0
"21",20,0,"",0,0,4.4908976225945e-05,0.7165,0.00446666666666667,0,0,0,0,0,0
"22",20,0,"",0,0,5.49061593495154e-05,0.876,0.00446666666666667,0,0,0,0,0,0
"23",20,0,"",0,0,4.23348155285358e-05,1.0845,0.003525,0,0,0,0,0,0
"24",19,0,"25_37_38",0,0,0.00039630075745484,0.6721,0.0137,0,0,0,0,0,0
"25",20,0,"26_34",0,0,0.000189571036336454,0.3215,0.0137,0,0,0,0,0,0
"26",21,0,"27_33",0,0,5.74813280836507e-05,0.1171,0.0125,0,0,0,0,0,0
"27",22,0,"28_32",0,0,6.21404262278526e-05,0.1522,0.0114,0,0,0,0,0,0
"28",23,0,"29_30_31",0,0,0.000105543691723738,0.3762,0.00945,0,0,0,0,0,0
"29",24,0,"",0,0,1.98880250811461e-05,0.1595,0.0063,0,0,0,0,0,0
"30",24,0,"",0,0,4.35276737866976e-05,0.4871,0.00533333333333333,0,0,0,0,0,0
"31",24,0,"",0,0,4.44750469258938e-05,0.6914,0.004525,0,0,0,0,0,0
"32",23,0,"",0,0,5.23141802148902e-05,0.2507,0.00815,0,0,0,0,0,0
"33",22,0,"",0,0,3.58835288999002e-05,0.1442,0.0089,0,0,0,0,0,0
"34",21,0,"35_36",0,0,0.000160796546766528,0.4778,0.01035,0,0,0,0,0,0
"35",22,0,"",0,0,7.77233164090768e-06,0.561,0.0021,0,0,0,0,0,0
"36",22,0,"",0,0,2.76952613872315e-05,0.2862,0.00555,0,0,0,0,0,0
"37",20,0,"",0,0,6.92563904134329e-05,0.2319,0.00975,0,0,0,0,0,0
"38",20,0,"",0,0,7.12871944445297e-05,0.2387,0.00975,0,0,0,0,0,0
"39",19,0,"",0,0,0.000193384250448501,0.5859,0.01025,0,0,0,0,0,0
"40",19,0,"",0,0,0.000480636150621045,1.169,0.01144,0,0,0,0,0,0
"41",19,0,"42_52",0,0,9.16309146086625e-05,0.1554,0.0137,0,0,0,0,0,0
"42",20,0,"43_51",0,0,0.000474841541405122,0.8053,0.0137,0,0,0,0,0,0
"43",21,0,"44_49_50",0,0,9.85235563242679e-05,0.2142,0.0121,0,0,0,0,0,0
"44",22,0,"45_46_47_48",0,0,4.82889431562454e-05,0.1368,0.0106,0,0,0,0,0,0
"45",23,0,"",0,0,7.31908841390751e-05,0.3078,0.0087,0,0,0,0,0,0
"46",23,0,"",0,0,7.13986518686937e-05,0.3987,0.00755,0,0,0,0,0,0
"47",23,0,"",0,0,3.82153807594162e-05,0.2134,0.00755,0,0,0,0,0,0
"48",23,0,"",0,0,5.11256984352775e-05,0.5236,0.005575,0,0,0,0,0,0
"49",22,0,"",0,0,0.000110996189667826,0.4722,0.00865,0,0,0,0,0,0
"50",22,0,"",0,0,7.8275584835633e-05,0.333,0.00865,0,0,0,0,0,0
"51",21,0,"",0,0,3.74205507494745e-05,0.1253,0.00975,0,0,0,0,0,0
"52",20,0,"",0,0,9.97355639204669e-05,0.6124,0.0072,0,0,0,0,0,0
"53",19,0,"",0,0,0.000139275212377169,0.6757,0.0081,0,0,0,0,0,0
"54",19,0,"",0,0,0.000152837901402503,0.7415,0.0081,0,0,0,0,0,0
"55",19,0,"",0,0,0.000193876372298306,0.9406,0.0081,0,0,0,0,0,0
"56",18,0,"57_64",0,0,0.000526029739993647,0.42,0.0199666666666667,0,0,0,0,0,0
"57",19,0,"58_63",0,0,0.000847666418870531,0.6629,0.020175,0,0,0,0,0,0
"58",20,0,"59_60_61_62",0,0,0.000369952878556442,0.4308,0.0165333333333333,0,0,0,0,0,0
"59",21,0,"",0,0,0.000130674307665026,0.4331,0.0098,0,0,0,0,0,0
"60",21,0,"",0,0,8.32997219090151e-05,0.2405,0.0105,0,0,0,0,0,0
"61",21,0,"",0,0,9.49374377349731e-05,0.2741,0.0105,0,0,0,0,0,0
"62",21,0,"",0,0,3.97968317976958e-05,0.1149,0.0105,0,0,0,0,0,0
"63",20,0,"",0,0,0.000241932872155705,0.6985,0.0105,0,0,0,0,0,0
"64",19,0,"",0,0,0.000133498327712838,0.2614,0.01275,0,0,0,0,0,0
"65",17,0,"66_69_70",0,0,0.00120711213505365,0.9398,0.02022,0,0,0,0,0,0
"66",18,0,"67_68",0,0,0.000139545515009084,0.1757,0.0159,0,0,0,0,0,0
"67",19,0,"",0,0,0.000131761898767365,0.254,0.01285,0,0,0,0,0,0
